"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","253.86","1","2011"
"Angola","200.84","2","2011"
"Cambodia","186.06","3","2011"
"Kuwait","178.56","4","2011"
"Zambia","177.53","5","2011"
"Mozambique","169.72","6","2011"
"Kazakhstan","169.56","7","2011"
"Malawi","163.72","8","2011"
"Uruguay","159.53","9","2011"
"Paraguay","154.97","10","2011"
"Niger (the)","154.96","11","2011"
"Sierra Leone","154.87","12","2011"
"Algeria","153.66","13","2011"
"Rwanda","152.18","14","2011"
"Haiti","150.87","15","2011"
"Ukraine","150.77","16","2011"
"Lao People's Democratic Republic (the)","150.15","17","2011"
"Cameroon","149.21","18","2011"
"Albania","148.96","19","2011"
"Ethiopia","146.93","20","2011"
"Mali","143.28","21","2011"
"Tonga","141.65","22","2011"
"Tanzania, the United Republic of","140.3","23","2011"
"Botswana","139.63","24","2011"
"Bahamas (the)","136.16","25","2011"
"Suriname","135.86","26","2011"
"Brazil","135.56","27","2011"
"Togo","135.34","28","2011"
"Bangladesh","135.06","29","2011"
"Dominican Republic (the)","134.78","30","2011"
"India","134.06","31","2011"
"Ghana","132.56","32","2011"
"Benin","131.93","33","2011"
"Guatemala","131.53","34","2011"
"Russian Federation (the)","130.5","35","2011"
"Vanuatu","129.86","36","2011"
"Uzbekistan","129.46","37","2011"
"Estonia","128.84","38","2011"
"Mauritania","128.84","39","2011"
"Lithuania","128.59","40","2011"
"Peru","128.12","41","2011"
"Guinea-Bissau","127.18","42","2011"
"Argentina","127.17","43","2011"
"China","126.73","44","2011"
"Tajikistan","126.7","45","2011"
"Morocco","126.59","46","2011"
"Indonesia","126.09","47","2011"
"Nepal","123.9","48","2011"
"Jordan","123.85","49","2011"
"Singapore","123.79","50","2011"
"Guinea","123.26","51","2011"
"Madagascar","122.95","52","2011"
"Nicaragua","122.04","53","2011"
"Honduras","121.43","54","2011"
"Thailand","121.17","55","2011"
"Myanmar","121.12","56","2011"
"Yemen","121.06","57","2011"
"Gabon","120.64","58","2011"
"Viet Nam","120.15","59","2011"
"Sri Lanka","119.78","60","2011"
"World","119.08","","2011"
"Papua New Guinea","118.73","61","2011"
"Djibouti","118.51","62","2011"
"Oman","118.17","63","2011"
"Bolivia (Plurinational State of)","117.48","64","2011"
"Ecuador","117.46","65","2011"
"Malaysia","117.4","66","2011"
"Central African Republic (the)","116.82","67","2011"
"Congo (the)","116.06","68","2011"
"Switzerland","115.67","69","2011"
"Costa Rica","115.64","70","2011"
"Philippines (the)","115.26","71","2011"
"New Zealand","115.09","72","2011"
"Armenia","114.79","73","2011"
"Bhutan","113.93","74","2011"
"Kenya","113.65","75","2011"
"Guyana","113.46","76","2011"
"Afghanistan","113.4","77","2011"
"Croatia","113.29","78","2011"
"Saint Vincent and the Grenadines","113.29","79","2011"
"Libya","112.62","80","2011"
"Solomon Islands","112.57","81","2011"
"Netherlands (the)","111.98","82","2011"
"Samoa","111.92","83","2011"
"Qatar","111.7","84","2011"
"Chile","111.5","85","2011"
"Pakistan","111.48","86","2011"
"Cabo Verde","111.34","87","2011"
"Canada","111.26","88","2011"
"Lesotho","111","89","2011"
"Bulgaria","110.98","90","2011"
"North Macedonia","110.62","91","2011"
"Antigua and Barbuda","110.59","92","2011"
"Iraq","110.54","93","2011"
"Azerbaijan","110.54","94","2011"
"Turkey","110.46","95","2011"
"Equatorial Guinea","110.03","96","2011"
"Côte d'Ivoire","109.62","97","2011"
"Spain","109.43","98","2011"
"Congo (the Democratic Republic of the)","109.15","99","2011"
"Egypt","108.65","100","2011"
"Venezuela (Bolivarian Republic of)","108.34","101","2011"
"Sudan (the)","108.26","102","2011"
"Australia","107.76","103","2011"
"Eswatini","107.75","104","2011"
"Czechia","107.62","105","2011"
"Dominica","107.54","106","2011"
"South Africa","107.48","107","2011"
"Namibia","107.09","108","2011"
"United Kingdom","106.29","109","2011"
"Chad","106.26","110","2011"
"Burkina Faso","105.42","111","2011"
"Bahrain","105.37","112","2011"
"Serbia","105.25","113","2011"
"Kyrgyzstan","105.06","114","2011"
"Tuvalu","105","115","2011"
"Jamaica","104.85","116","2011"
"Tunisia","104.84","117","2011"
"Romania","104.76","118","2011"
"Sao Tome and Principe","104.6","119","2011"
"Comoros (the)","104.5","120","2011"
"Latvia","104.04","121","2011"
"Senegal","103.96","122","2011"
"Poland","103.81","123","2011"
"Malta","103.65","124","2011"
"El Salvador","103.43","125","2011"
"Austria","103.12","126","2011"
"Mexico","102.78","127","2011"
"Sweden","102.51","128","2011"
"Nauru","102.29","129","2011"
"Syrian Arab Republic (the)","102.06","130","2011"
"Liberia","101.95","131","2011"
"Denmark","101.85","132","2011"
"United States of America (the)","101.81","133","2011"
"Belarus","100.87","134","2011"
"Liechtenstein","100.4","135","2011"
"Burundi","100.4","136","2011"
"Timor-Leste","100.15","137","2011"
"Belgium","100.03","138","2011"
"Moldova (the Republic of)","99.7","139","2011"
"Brunei Darussalam","99.62","140","2011"
"Bosnia and Herzegovina","99.46","141","2011"
"Iran (Islamic Republic of)","99.2","142","2011"
"Israel","99.15","143","2011"
"France","99.03","144","2011"
"Finland","98.85","145","2011"
