"Country","GDP growth (annual %)","Rank","Year"
"Sierra Leone","26.41","1","2002"
"Equatorial Guinea","19.46","2","2002"
"Nigeria","15.32","3","2002"
"Angola","13.66","4","2002"
"Armenia","13.19","5","2002"
"Rwanda","13.19","6","2002"
"Myanmar","12.02","7","2002"
"Bhutan","10.99","8","2002"
"Tajikistan","10.83","9","2002"
"Kazakhstan","9.79","10","2002"
"Azerbaijan","9.43","11","2002"
"Mozambique","9.29","12","2002"
"China","9.13","13","2002"
"Uganda","8.73","14","2002"
"Chad","8.49","15","2002"
"Trinidad and Tobago","7.93","16","2002"
"Tuvalu","7.88","17","2002"
"Moldova (the Republic of)","7.79","18","2002"
"Korea (the Republic of)","7.72","19","2002"
"Iran (Islamic Republic of)","7.26","20","2002"
"Maldives","7.26","21","2002"
"Qatar","7.18","22","2002"
"Tanzania, the United Republic of","7.09","23","2002"
"Latvia","7.08","24","2002"
"Estonia","6.8","25","2002"
"Lithuania","6.75","26","2002"
"Cambodia","6.57","27","2002"
"Turkey","6.44","28","2002"
"Sudan (the)","6.42","29","2002"
"Serbia","6.38","30","2002"
"Viet Nam","6.32","31","2002"
"Saint Vincent and the Grenadines","6.32","32","2002"
"Thailand","6.14","33","2002"
"Botswana","6.06","34","2002"
"Bulgaria","5.95","35","2002"
"Ireland","5.91","36","2002"
"Lao People's Democratic Republic (the)","5.91","37","2002"
"Syrian Arab Republic (the)","5.89","38","2002"
"Jordan","5.78","39","2002"
"Romania","5.7","40","2002"
"Croatia","5.67","41","2002"
"Algeria","5.59","42","2002"
"Georgia","5.47","43","2002"
"Peru","5.45","44","2002"
"Malaysia","5.39","45","2002"
"Bosnia and Herzegovina","5.3","46","2002"
"Cabo Verde","5.25","47","2002"
"Ukraine","5.24","48","2002"
"Guinea","5.16","49","2002"
"Belarus","5.04","50","2002"
"Niger (the)","4.91","51","2002"
"Tonga","4.84","52","2002"
"Namibia","4.78","53","2002"
"Hungary","4.74","54","2002"
"Mongolia","4.73","55","2002"
"Belize","4.72","56","2002"
"Russian Federation (the)","4.69","57","2002"
"New Zealand","4.67","58","2002"
"Benin","4.64","59","2002"
"Congo (the)","4.58","60","2002"
"Andorra","4.54","61","2002"
"Albania","4.53","62","2002"
"Slovakia","4.5","63","2002"
"Zambia","4.5","64","2002"
"Indonesia","4.49","65","2002"
"Ghana","4.49","66","2002"
"Dominican Republic (the)","4.49","67","2002"
"Burundi","4.44","68","2002"
"Eswatini","4.38","69","2002"
"Burkina Faso","4.35","70","2002"
"Samoa","4.34","71","2002"
"Cameroon","4.23","72","2002"
"Ecuador","4.09","73","2002"
"Australia","4","74","2002"
"Uzbekistan","3.97","75","2002"
"Sri Lanka","3.96","76","2002"
"Yemen","3.93","77","2002"
"Greece","3.92","78","2002"
"Singapore","3.91","79","2002"
"Brunei Darussalam","3.87","80","2002"
"Guatemala","3.86","81","2002"
"Bangladesh","3.83","82","2002"
"Togo","3.82","83","2002"
"Luxembourg","3.81","84","2002"
"India","3.8","85","2002"
"Kiribati","3.78","86","2002"
"Liberia","3.76","87","2002"
"Honduras","3.75","88","2002"
"Marshall Islands (the)","3.74","89","2002"
"Cyprus","3.72","90","2002"
"Philippines (the)","3.71","91","2002"
"South Africa","3.7","92","2002"
"Central African Republic (the)","3.61","93","2002"
"Palau","3.57","94","2002"
"Slovenia","3.5","95","2002"
"Grenada","3.43","96","2002"
"Lebanon","3.42","97","2002"
"Canada","3.42","98","2002"
"Bahrain","3.34","99","2002"
"Costa Rica","3.29","100","2002"
"Fiji","3.19","101","2002"
"Morocco","3.12","102","2002"
"Mali","3.1","103","2002"
"Chile","3.1","104","2002"
"Brazil","3.05","105","2002"
"Kuwait","3.01","106","2002"
"Eritrea","3","107","2002"
"Congo (the Democratic Republic of the)","2.94","108","2002"
"Suriname","2.8","109","2002"
"Spain","2.73","110","2002"
"Bahamas (the)","2.7","111","2002"
"Malta","2.56","112","2002"
"Pakistan","2.5","113","2002"
"Colombia","2.5","114","2002"
"Bolivia (Plurinational State of)","2.48","115","2002"
"United Arab Emirates (the)","2.43","116","2002"
"Egypt","2.39","117","2002"
"Sao Tome and Principe","2.37","118","2002"
"United Kingdom","2.32","119","2002"
"Comoros (the)","2.32","120","2002"
"Panama","2.22","121","2002"
"Sweden","2.19","122","2002"
"World","2.18","","2002"
"Poland","2.03","123","2002"
"Jamaica","1.99","124","2002"
"Montenegro","1.9","125","2002"
"United States of America (the)","1.74","126","2002"
"Finland","1.7","127","2002"
"Belgium","1.7","128","2002"
"Malawi","1.7","129","2002"
"Austria","1.65","130","2002"
"Mauritius","1.61","131","2002"
"El Salvador","1.58","132","2002"
"Czechia","1.56","133","2002"
"Ethiopia","1.51","134","2002"
"North Macedonia","1.49","135","2002"
"Norway","1.44","136","2002"
"Cuba","1.42","137","2002"
"Mauritania","1.38","138","2002"
"Saint Kitts and Nevis","1.36","139","2002"
"Tunisia","1.32","140","2002"
"Seychelles","1.21","141","2002"
"France","1.13","142","2002"
"Guyana","1.13","143","2002"
"Monaco","1.02","144","2002"
"Antigua and Barbuda","1.02","145","2002"
"Haiti","0.92","146","2002"
"Barbados","0.78","147","2002"
"Portugal","0.77","148","2002"
"Nicaragua","0.75","149","2002"
"Lesotho","0.72","150","2002"
"Iceland","0.68","151","2002"
"Senegal","0.65","152","2002"
"Kenya","0.54","153","2002"
"Micronesia (Federated States of)","0.54","154","2002"
"Denmark","0.46","155","2002"
"Saint Lucia","0.41","156","2002"
"Curaçao","0.39","157","2002"
"San Marino","0.31","158","2002"
"Italy","0.25","159","2002"
"Turkmenistan","0.25","160","2002"
"Netherlands (the)","0.21","161","2002"
"Switzerland","0.16","162","2002"
"Nepal","0.12","163","2002"
"Japan","0.11","164","2002"
"Israel","-0.02","175","2002"
"Kyrgyzstan","-0.02","176","2002"
"Paraguay","-0.03","177","2002"
"Mexico","-0.04","178","2002"
"Papua New Guinea","-0.16","179","2002"
"Germany","-0.2","180","2002"
"Gabon","-0.25","181","2002"
"Libya","-0.96","182","2002"
"Guinea-Bissau","-0.99","183","2002"
"Liechtenstein","-1","184","2002"
"Oman","-1.11","185","2002"
"Côte d'Ivoire","-1.67","186","2002"
"Solomon Islands","-2.8","187","2002"
"Saudi Arabia","-2.82","188","2002"
"Dominica","-2.83","189","2002"
"Gambia (the)","-3.26","190","2002"
"Vanuatu","-5.2","191","2002"
"Timor-Leste","-6.71","192","2002"
"Iraq","-6.91","193","2002"
"Uruguay","-7.74","194","2002"
"Venezuela (Bolivarian Republic of)","-8.86","195","2002"
"Zimbabwe","-8.9","196","2002"
"Argentina","-10.9","197","2002"
"Madagascar","-12.41","198","2002"
"Palestine, State of","-12.49","199","2002"
"Holy See (the)","null","165","2002"
"Afghanistan","null","166","2002"
"Taiwan","null","167","2002"
"Korea (the Democratic People's Republic of)","null","168","2002"
"Somalia","null","169","2002"
"South Sudan","null","170","2002"
"Djibouti","null","171","2002"
"Bonaire","null","172","2002"
"Sint Maarten (Dutch part)","null","173","2002"
"Nauru","null","174","2002"
"Faroe Islands","null","200","2002"
"United States Minor Outlying Islands","null","201","2002"
"Serranilla Bank","null","202","2002"
"Scarborough Reef","null","203","2002"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2002"
"Spratly Islands","null","205","2002"
"American Samoa","null","206","2002"
"Greenland","null","207","2002"
"Guam","null","208","2002"
"Northern Mariana Islands","null","209","2002"
"Puerto Rico","null","210","2002"
"United States Virgin Islands","null","211","2002"
"Somaliland","null","212","2002"
"Northern Cyprus","null","213","2002"
"Cyprus No Mans Area","null","214","2002"
"Western Sahara","null","215","2002"
"Siachen Glacier","null","216","2002"
"Kosovo","null","217","2002"
