"Country","GDP growth (annual %)","Rank","Year"
"Nauru","30.61","1","2013"
"Sierra Leone","20.71","2","2013"
"South Sudan","13.12","3","2013"
"Mongolia","11.64","4","2013"
"Botswana","11.34","5","2013"
"Kyrgyzstan","10.91","6","2013"
"Ethiopia","10.58","7","2013"
"Turkmenistan","10.2","8","2013"
"Monaco","9.59","9","2013"
"Moldova (the Republic of)","9.04","10","2013"
"Côte d'Ivoire","8.88","11","2013"
"Liberia","8.7","12","2013"
"Turkey","8.48","13","2013"
"Congo (the Democratic Republic of the)","8.48","14","2013"
"Myanmar","8.42","15","2013"
"Paraguay","8.41","16","2013"
"Lao People's Democratic Republic (the)","8.02","17","2013"
"China","7.76","18","2013"
"Iraq","7.6","19","2013"
"Uzbekistan","7.58","20","2013"
"Tajikistan","7.4","21","2013"
"Cambodia","7.35","22","2013"
"Ghana","7.31","23","2013"
"Maldives","7.28","24","2013"
"Benin","7.19","25","2013"
"Mozambique","6.96","26","2013"
"Panama","6.9","27","2013"
"Bolivia (Plurinational State of)","6.79","28","2013"
"Tanzania, the United Republic of","6.78","29","2013"
"Philippines (the)","6.75","30","2013"
"Nigeria","6.67","31","2013"
"India","6.38","32","2013"
"Togo","6.11","33","2013"
"Bangladesh","6.01","34","2013"
"Seychelles","6.01","35","2013"
"Kazakhstan","5.99","36","2013"
"Kenya","5.87","37","2013"
"Peru","5.85","38","2013"
"Azerbaijan","5.84","39","2013"
"Burkina Faso","5.79","40","2013"
"Chad","5.7","41","2013"
"Gabon","5.63","42","2013"
"Namibia","5.61","43","2013"
"Afghanistan","5.6","44","2013"
"Indonesia","5.55","45","2013"
"Qatar","5.55","46","2013"
"Malta","5.47","47","2013"
"Viet Nam","5.42","48","2013"
"Bahrain","5.41","49","2013"
"Cameroon","5.4","50","2013"
"Saint Kitts and Nevis","5.38","51","2013"
"Solomon Islands","5.33","52","2013"
"Niger (the)","5.31","53","2013"
"Malawi","5.19","54","2013"
"Colombia","5.13","55","2013"
"Oman","5.1","56","2013"
"United Arab Emirates (the)","5.05","57","2013"
"Zambia","5.05","58","2013"
"Angola","4.95","59","2013"
"Ecuador","4.94","60","2013"
"Burundi","4.92","61","2013"
"Nicaragua","4.92","62","2013"
"Dominican Republic (the)","4.87","63","2013"
"Singapore","4.83","64","2013"
"Yemen","4.82","65","2013"
"Sao Tome and Principe","4.81","66","2013"
"Fiji","4.73","67","2013"
"Rwanda","4.71","68","2013"
"Malaysia","4.69","69","2013"
"Palestine, State of","4.69","70","2013"
"Uruguay","4.63","71","2013"
"Tuvalu","4.57","72","2013"
"Morocco","4.53","73","2013"
"Comoros (the)","4.49","74","2013"
"Pakistan","4.39","75","2013"
"Sudan (the)","4.39","76","2013"
"Kiribati","4.21","77","2013"
"Lesotho","4.18","78","2013"
"Mauritania","4.15","79","2013"
"Israel","4.14","80","2013"
"Iceland","4.13","81","2013"
