"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","32.17","1","2017"
"Kuwait","22.11","2","2017"
"United Arab Emirates (the)","21.95","3","2017"
"Bahrain","20.33","4","2017"
"Saudi Arabia","16.33","5","2017"
"Brunei Darussalam","15.8","6","2017"
"Australia","15.73","7","2017"
"Canada","15.38","8","2017"
"Palau","15.16","9","2017"
"Luxembourg","15.09","10","2017"
"Oman","14.98","11","2017"
"United States of America (the)","14.8","12","2017"
"Trinidad and Tobago","13.14","13","2017"
"Kazakhstan","12.5","14","2017"
"Turkmenistan","12.49","15","2017"
"Estonia","12.35","16","2017"
"Korea (the Republic of)","12.17","17","2017"
"Russian Federation (the)","10.77","18","2017"
"Czechia","9.76","19","2017"
"Netherlands (the)","9.1","20","2017"
"Japan","9.08","21","2017"
"Germany","8.85","22","2017"
"Libya","8.63","23","2017"
"Singapore","8.45","24","2017"
"Poland","8.23","25","2017"
"Belgium","8.15","26","2017"
"Finland","7.8","27","2017"
"Ireland","7.8","28","2017"
"Iran (Islamic Republic of)","7.69","29","2017"
"South Africa","7.63","30","2017"
"Israel","7.57","31","2017"
"Austria","7.48","32","2017"
"China","7.17","33","2017"
"Malaysia","7.16","34","2017"
"Norway","6.99","35","2017"
"Slovenia","6.84","36","2017"
"New Zealand","6.83","37","2017"
"Bosnia and Herzegovina","6.75","38","2017"
"Serbia","6.68","39","2017"
"Nauru","6.61","40","2017"
"Iceland","6.31","41","2017"
"Mongolia","6.25","42","2017"
"Bulgaria","6.22","43","2017"
"Greece","6.21","44","2017"
"Cyprus","6.18","45","2017"
"Slovakia","6.17","46","2017"
"Seychelles","6.15","47","2017"
"Andorra","6.1","48","2017"
"Belarus","5.94","49","2017"
"Denmark","5.78","50","2017"
"Spain","5.65","51","2017"
"Bahamas (the)","5.63","52","2017"
"United Kingdom","5.54","53","2017"
"Italy","5.43","54","2017"
"Antigua and Barbuda","5.23","55","2017"
"Portugal","5.17","56","2017"
"Turkey","5.12","57","2017"
"Venezuela (Bolivarian Republic of)","5.05","58","2017"
"Hungary","4.75","59","2017"
"France","4.72","60","2017"
"Chile","4.71","61","2017"
"Iraq","4.64","62","2017"
"Saint Kitts and Nevis","4.61","63","2017"
"Switzerland","4.56","64","2017"
"Equatorial Guinea","4.46","65","2017"
"World","4.43","","2017"
"Lebanon","4.29","66","2017"
"Liechtenstein","4.23","67","2017"
"Croatia","4.23","68","2017"
"Barbados","4.19","69","2017"
"Argentina","4.08","70","2017"
"Lithuania","3.96","71","2017"
"Ukraine","3.89","72","2017"
"Sweden","3.81","73","2017"
"Romania","3.78","74","2017"
"North Macedonia","3.78","75","2017"
"Mexico","3.78","76","2017"
"Thailand","3.76","77","2017"
"Suriname","3.73","78","2017"
"Latvia","3.66","79","2017"
"Maldives","3.66","80","2017"
"Montenegro","3.58","81","2017"
"Botswana","3.56","82","2017"
"Algeria","3.5","83","2017"
"Uzbekistan","3.43","84","2017"
"Mauritius","3.3","85","2017"
"Malta","3.24","86","2017"
"Azerbaijan","3.24","87","2017"
"Marshall Islands (the)","3.1","88","2017"
