"Country","GDP growth (annual %)","Rank","Year"
"Afghanistan","21.39","1","2009"
"Zimbabwe","12.01","2","2009"
"Qatar","11.95","3","2009"
"Congo (the)","11.63","4","2009"
"Myanmar","10.55","5","2009"
"Lebanon","10.23","6","2009"
"Timor-Leste","9.98","7","2009"
"China","9.39","8","2009"
"Azerbaijan","9.36","9","2009"
"Zambia","9.22","10","2009"
"Nauru","9.09","11","2009"
"Ethiopia","8.8","12","2009"
"Palestine, State of","8.59","13","2009"
"Central African Republic (the)","8.58","14","2009"
"Malawi","8.32","15","2009"
"Uzbekistan","8.05","16","2009"
"Nigeria","8.03","17","2009"
"India","7.86","18","2009"
"Lao People's Democratic Republic (the)","7.5","19","2009"
"Uganda","6.8","20","2009"
"Papua New Guinea","6.8","21","2009"
"Bhutan","6.74","22","2009"
"Gambia (the)","6.66","23","2009"
"Mozambique","6.31","24","2009"
"Haiti","6.31","25","2009"
"Rwanda","6.24","26","2009"
"Oman","6.11","27","2009"
"Turkmenistan","6.1","28","2009"
"Togo","5.53","29","2009"
"Viet Nam","5.39","30","2009"
"Liberia","5.3","31","2009"
"Tanzania, the United Republic of","5.26","32","2009"
"Bangladesh","5.04","33","2009"
"South Sudan","5.04","34","2009"
"Jordan","5.02","35","2009"
"Ghana","4.84","36","2009"
"Mali","4.8","37","2009"
"Egypt","4.67","38","2009"
"Indonesia","4.62","39","2009"
"Nepal","4.53","40","2009"
"Morocco","4.24","41","2009"
"Uruguay","4.24","42","2009"
"Chad","4.21","43","2009"
"Tajikistan","3.89","44","2009"
"Eritrea","3.87","45","2009"
"Yemen","3.86","46","2009"
"Burundi","3.81","47","2009"
"Guyana","3.61","48","2009"
"Sri Lanka","3.53","49","2009"
"Iraq","3.37","50","2009"
"Guinea-Bissau","3.36","51","2009"
"Albania","3.35","52","2009"
"Bolivia (Plurinational State of)","3.35","53","2009"
"Mauritius","3.31","54","2009"
"Vanuatu","3.31","55","2009"
"Kenya","3.3","56","2009"
"Côte d'Ivoire","3.25","57","2009"
"Sudan (the)","3.24","58","2009"
"Comoros (the)","3.2","59","2009"
"Sierra Leone","3.18","60","2009"
"Tunisia","3.04","61","2009"
"Suriname","3.01","62","2009"
"Burkina Faso","2.96","63","2009"
"Kyrgyzstan","2.88","64","2009"
"Congo (the Democratic Republic of the)","2.85","65","2009"
"Poland","2.83","66","2009"
"Pakistan","2.83","67","2009"
"Solomon Islands","2.55","68","2009"
"Bahrain","2.53","69","2009"
"Sao Tome and Principe","2.42","70","2009"
"Benin","2.31","71","2009"
"Cameroon","2.19","72","2009"
"Lesotho","2.15","73","2009"
"Senegal","2.09","74","2009"
"Niger (the)","1.96","75","2009"
"Australia","1.93","76","2009"
"Algeria","1.6","77","2009"
"Eswatini","1.56","78","2009"
"Cuba","1.45","79","2009"
"Philippines (the)","1.44","80","2009"
"Marshall Islands (the)","1.44","81","2009"
"Equatorial Guinea","1.34","82","2009"
"Panama","1.24","83","2009"
"Kazakhstan","1.19","84","2009"
"Colombia","1.13","85","2009"
"Peru","1.09","86","2009"
"Micronesia (Federated States of)","1.09","87","2009"
"Iran (Islamic Republic of)","1","88","2009"
"Dominican Republic (the)","0.94","89","2009"
"Israel","0.92","90","2009"
"Angola","0.85","91","2009"
"Kiribati","0.8","92","2009"
"Korea (the Republic of)","0.79","93","2009"
"Ecuador","0.56","94","2009"
"Guatemala","0.52","95","2009"
"Namibia","0.29","96","2009"
"Belize","0.21","97","2009"
"Belarus","0.19","98","2009"
"Gabon","0.13","99","2009"
"Singapore","0.12","100","2009"
"Mauritania","0.09","101","2009"
"Cambodia","0.08","102","2009"
"Brazil","-0.13","111","2009"
"New Zealand","-0.15","112","2009"
"Paraguay","-0.26","113","2009"
"North Macedonia","-0.36","114","2009"
"Curaçao","-0.54","115","2009"
"Thailand","-0.7","116","2009"
"Libya","-0.8","117","2009"
"Costa Rica","-0.98","118","2009"
"Seychelles","-1.11","119","2009"
"Guinea","-1.12","120","2009"
"Malta","-1.14","121","2009"
"Liechtenstein","-1.16","122","2009"
"Dominica","-1.17","123","2009"
"Mongolia","-1.27","124","2009"
"Cabo Verde","-1.28","125","2009"
"Fiji","-1.39","126","2009"
"Malaysia","-1.52","127","2009"
"South Africa","-1.54","128","2009"
"Chile","-1.57","129","2009"
"World","-1.68","","2009"
"Norway","-1.73","130","2009"
"Brunei Darussalam","-1.77","131","2009"
"Cyprus","-2.02","132","2009"
"Belgium","-2.03","133","2009"
"Saudi Arabia","-2.06","134","2009"
"El Salvador","-2.09","135","2009"
"Saint Vincent and the Grenadines","-2.1","136","2009"
"Switzerland","-2.23","137","2009"
"Honduras","-2.44","138","2009"
"United States of America (the)","-2.54","139","2009"
"Serbia","-2.74","140","2009"
"Saint Lucia","-2.83","141","2009"
"France","-2.88","142","2009"
"Canada","-2.93","143","2009"
"Bosnia and Herzegovina","-3.01","144","2009"
"Portugal","-3.13","145","2009"
"Venezuela (Bolivarian Republic of)","-3.21","146","2009"
"Nicaragua","-3.3","147","2009"
"Bulgaria","-3.38","148","2009"
"Georgia","-3.66","149","2009"
"Netherlands (the)","-3.67","150","2009"
"Austria","-3.77","151","2009"
"Spain","-3.77","152","2009"
"Madagascar","-3.98","153","2009"
"Saint Kitts and Nevis","-4.05","154","2009"
"Bahamas (the)","-4.18","155","2009"
"United Kingdom","-4.25","156","2009"
"Greece","-4.31","157","2009"
"Sweden","-4.34","158","2009"
"Jamaica","-4.34","159","2009"
"Luxembourg","-4.36","160","2009"
"Trinidad and Tobago","-4.4","161","2009"
"Tuvalu","-4.44","162","2009"
"Czechia","-4.66","163","2009"
"Samoa","-4.81","164","2009"
"Turkey","-4.83","165","2009"
"Denmark","-4.91","166","2009"
"Ireland","-5.08","167","2009"
"Barbados","-5.08","168","2009"
"Tonga","-5.2","169","2009"
"United Arab Emirates (the)","-5.25","170","2009"
"Italy","-5.29","171","2009"
"Mexico","-5.29","172","2009"
"Andorra","-5.31","173","2009"
"Japan","-5.42","174","2009"
"Slovakia","-5.46","175","2009"
"Romania","-5.52","176","2009"
"Germany","-5.7","177","2009"
"Montenegro","-5.8","178","2009"
"Argentina","-5.92","179","2009"
"Moldova (the Republic of)","-6.01","180","2009"
"Palau","-6.6","181","2009"
"Grenada","-6.62","182","2009"
"Hungary","-6.7","183","2009"
"Iceland","-6.78","184","2009"
"Kuwait","-7.08","185","2009"
"Maldives","-7.23","186","2009"
"Croatia","-7.33","187","2009"
"Slovenia","-7.55","188","2009"
"Botswana","-7.66","189","2009"
"Russian Federation (the)","-7.8","190","2009"
"Finland","-8.08","191","2009"
"San Marino","-10.33","192","2009"
"Monaco","-11.31","193","2009"
"Antigua and Barbuda","-11.97","194","2009"
"Armenia","-14.11","195","2009"
"Latvia","-14.26","196","2009"
"Estonia","-14.44","197","2009"
"Ukraine","-14.76","198","2009"
"Lithuania","-14.84","199","2009"
"Holy See (the)","null","103","2009"
"Syrian Arab Republic (the)","null","104","2009"
"Taiwan","null","105","2009"
"Korea (the Democratic People's Republic of)","null","106","2009"
"Somalia","null","107","2009"
"Djibouti","null","108","2009"
"Bonaire","null","109","2009"
"Sint Maarten (Dutch part)","null","110","2009"
"Faroe Islands","null","200","2009"
"United States Minor Outlying Islands","null","201","2009"
"Serranilla Bank","null","202","2009"
"Scarborough Reef","null","203","2009"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2009"
"Spratly Islands","null","205","2009"
"American Samoa","null","206","2009"
"Greenland","null","207","2009"
"Guam","null","208","2009"
"Northern Mariana Islands","null","209","2009"
"Puerto Rico","null","210","2009"
"United States Virgin Islands","null","211","2009"
"Somaliland","null","212","2009"
"Northern Cyprus","null","213","2009"
"Cyprus No Mans Area","null","214","2009"
"Western Sahara","null","215","2009"
"Siachen Glacier","null","216","2009"
"Kosovo","null","217","2009"
