"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","57","1","2004"
"Kuwait","28.87","2","2004"
"United Arab Emirates (the)","27.81","3","2004"
"Trinidad and Tobago","25.91","4","2004"
"Luxembourg","24.59","5","2004"
"Bahrain","21.63","6","2004"
"United States of America (the)","19.65","7","2004"
"Canada","17.32","8","2004"
"Saudi Arabia","17.11","9","2004"
"Australia","17.02","10","2004"
"Brunei Darussalam","13.9","11","2004"
"Finland","12.85","12","2004"
"Estonia","12.68","13","2004"
"Kazakhstan","11.52","14","2004"
"Czechia","11.45","15","2004"
"Oman","11.44","16","2004"
"Netherlands (the)","11.37","17","2004"
"Russian Federation (the)","11.12","18","2004"
"Palau","10.89","19","2004"
"Ireland","10.75","20","2004"
"Belgium","10.66","21","2004"
"Korea (the Republic of)","10.03","22","2004"
"Turkmenistan","9.89","23","2004"
"Germany","9.88","24","2004"
"Japan","9.88","25","2004"
"Equatorial Guinea","9.84","26","2004"
"South Africa","9.51","27","2004"
"Denmark","9.36","28","2004"
"Norway","9.28","29","2004"
"United Kingdom","8.98","30","2004"
"Seychelles","8.93","31","2004"
"Greece","8.86","32","2004"
"Austria","8.82","33","2004"
"Libya","8.81","34","2004"
"Israel","8.66","35","2004"
"New Zealand","8.45","36","2004"
"Italy","8.21","37","2004"
"Poland","7.97","38","2004"
"Spain","7.9","39","2004"
"Slovenia","7.88","40","2004"
"Iceland","7.68","41","2004"
"Andorra","7.35","42","2004"
"Cyprus","7.25","43","2004"
"Ukraine","7.23","44","2004"
"Slovakia","7.21","45","2004"
"Singapore","6.83","46","2004"
"Malaysia","6.82","47","2004"
"Nauru","6.66","48","2004"
"Iran (Islamic Republic of)","6.48","49","2004"
"Malta","6.41","50","2004"
"Bahamas (the)","6.18","51","2004"
"France","6.12","52","2004"
"Sweden","6.06","53","2004"
"Bulgaria","6.06","54","2004"
"Portugal","6.02","55","2004"
"Belarus","5.97","56","2004"
"Venezuela (Bolivarian Republic of)","5.83","57","2004"
"Hungary","5.68","58","2004"
"Switzerland","5.47","59","2004"
"North Macedonia","5.44","60","2004"
"Antigua and Barbuda","5.24","61","2004"
"Croatia","5.19","62","2004"
"Uzbekistan","4.87","63","2004"
"Barbados","4.64","64","2004"
"Saint Kitts and Nevis","4.59","65","2004"
"Romania","4.51","66","2004"
"Iraq","4.33","67","2004"
"Mexico","4.22","68","2004"
"Bosnia and Herzegovina","4.14","69","2004"
"Argentina","4.09","70","2004"
"China","4.03","71","2004"
"Lithuania","3.92","72","2004"
"Jamaica","3.91","73","2004"
"Azerbaijan","3.86","74","2004"
"Chile","3.73","75","2004"
"Lebanon","3.67","76","2004"
"Gabon","3.46","77","2004"
"Jordan","3.44","78","2004"
"Mongolia","3.42","79","2004"
"Thailand","3.4","80","2004"
"Turkey","3.36","81","2004"
"Latvia","3.27","82","2004"
"Suriname","3.16","83","2004"
"Korea (the Democratic People's Republic of)","3.04","84","2004"
"Syrian Arab Republic (the)","2.86","85","2004"
"Algeria","2.7","86","2004"
"Mauritius","2.53","87","2004"
"Tunisia","2.22","88","2004"
"Cuba","2.22","89","2004"
"Botswana","2.2","90","2004"
"Saint Lucia","2.19","91","2004"
"Guyana","2.18","92","2004"
"Marshall Islands (the)","2.15","93","2004"
"Maldives","2.14","94","2004"
"Ecuador","2.13","95","2004"
"Dominican Republic (the)","2.04","96","2004"
"Egypt","2.03","97","2004"
"Dominica","2.03","98","2004"
"Saint Vincent and the Grenadines","2.02","99","2004"
"Grenada","1.96","100","2004"
"Brazil","1.83","101","2004"
"Panama","1.77","102","2004"
"Uruguay","1.68","103","2004"
"Fiji","1.65","104","2004"
"Costa Rica","1.64","105","2004"
"Moldova (the Republic of)","1.57","106","2004"
"Indonesia","1.51","107","2004"
"Morocco","1.43","108","2004"
"Belize","1.41","109","2004"
"Albania","1.37","110","2004"
"Micronesia (Federated States of)","1.34","111","2004"
"Colombia","1.3","112","2004"
"Bolivia (Plurinational State of)","1.22","113","2004"
"Armenia","1.21","114","2004"
"Kyrgyzstan","1.15","115","2004"
"Peru","1.15","116","2004"
"Tuvalu","1.11","117","2004"
"Georgia","1.1","118","2004"
"Viet Nam","1.09","119","2004"
"Tonga","1.09","120","2004"
"El Salvador","1.05","121","2004"
"India","1.02","122","2004"
"Namibia","1.02","123","2004"
"Eswatini","1.01","124","2004"
"Honduras","1.01","125","2004"
"Angola","1","126","2004"
"Lesotho","0.98","127","2004"
"Yemen","0.96","128","2004"
"Guatemala","0.89","129","2004"
"Philippines (the)","0.87","130","2004"
"Pakistan","0.84","131","2004"
"Samoa","0.84","132","2004"
"Nicaragua","0.82","133","2004"
"Zimbabwe","0.78","134","2004"
"Nigeria","0.73","135","2004"
"Cabo Verde","0.72","136","2004"
"Paraguay","0.71","137","2004"
"Papua New Guinea","0.7","138","2004"
"Palestine, State of","0.67","139","2004"
"Sri Lanka","0.63","140","2004"
"Mauritania","0.52","141","2004"
"Djibouti","0.52","142","2004"
"Kiribati","0.52","143","2004"
"Bhutan","0.48","144","2004"
"Senegal","0.48","145","2004"
"Sao Tome and Principe","0.47","146","2004"
"Côte d'Ivoire","0.42","147","2004"
"Tajikistan","0.38","148","2004"
"Solomon Islands","0.35","149","2004"
"Ghana","0.34","150","2004"
"Benin","0.32","151","2004"
"Sudan (the)","0.29","152","2004"
"Eritrea","0.28","153","2004"
"Vanuatu","0.28","154","2004"
"Bangladesh","0.27","155","2004"
"Congo (the)","0.27","156","2004"
"Myanmar","0.25","157","2004"
"Togo","0.25","158","2004"
"Lao People's Democratic Republic (the)","0.23","159","2004"
"Comoros (the)","0.23","160","2004"
"Cameroon","0.22","161","2004"
"Gambia (the)","0.21","162","2004"
"Guinea","0.21","163","2004"
"Kenya","0.21","164","2004"
"Haiti","0.21","165","2004"
"Cambodia","0.18","166","2004"
"Timor-Leste","0.18","167","2004"
"Zambia","0.18","168","2004"
"Liberia","0.17","169","2004"
"Guinea-Bissau","0.15","170","2004"
"Tanzania, the United Republic of","0.11","171","2004"
"Sierra Leone","0.11","172","2004"
"Nepal","0.1","173","2004"
"Madagascar","0.1","174","2004"
"Mozambique","0.09","175","2004"
"Burkina Faso","0.08","176","2004"
"Ethiopia","0.07","177","2004"
"Malawi","0.07","178","2004"
"Mali","0.07","179","2004"
"Chad","0.07","180","2004"
"Niger (the)","0.06","181","2004"
"Uganda","0.06","182","2004"
"Rwanda","0.06","183","2004"
"Somalia","0.05","184","2004"
"Central African Republic (the)","0.05","185","2004"
"Afghanistan","0.03","186","2004"
"Congo (the Democratic Republic of the)","0.02","187","2004"
"Burundi","0.02","188","2004"
"World","0","","2004"
"Liechtenstein","null","189","2004"
"Montenegro","null","190","2004"
"Serbia","null","191","2004"
"San Marino","null","192","2004"
