"Country","GDP growth (annual %)","Rank","Year"
"Zimbabwe","19.67","1","2010"
"Qatar","19.59","2","2010"
"Singapore","14.52","3","2010"
"Afghanistan","14.36","4","2010"
"Chad","13.55","5","2010"
"Ethiopia","12.55","6","2010"
"Bhutan","11.94","7","2010"
"Paraguay","11.14","8","2010"
"Nauru","11.11","9","2010"
"China","10.63","10","2010"
"Zambia","10.29","11","2010"
"Argentina","10.12","12","2010"
"Papua New Guinea","10.12","13","2010"
"Congo (the)","9.93","14","2010"
"Myanmar","9.63","15","2010"
"Timor-Leste","9.45","16","2010"
"Turkmenistan","9.19","17","2010"
"Solomon Islands","8.61","18","2010"
"Niger (the)","8.57","19","2010"
"Botswana","8.56","20","2010"
"Lao People's Democratic Republic (the)","8.52","21","2010"
"India","8.49","22","2010"
"Burkina Faso","8.44","23","2010"
"Turkey","8.42","24","2010"
"Kenya","8.4","25","2010"
"Dominican Republic (the)","8.33","26","2010"
"Peru","8.33","27","2010"
"Sri Lanka","8.01","28","2010"
"Nigeria","8","29","2010"
"Lebanon","7.97","30","2010"
"Ghana","7.89","31","2010"
"Uruguay","7.8","32","2010"
"Belarus","7.79","33","2010"
"Yemen","7.7","34","2010"
"Uzbekistan","7.59","35","2010"
"Marshall Islands (the)","7.55","36","2010"
"Brazil","7.52","37","2010"
"Thailand","7.51","38","2010"
"Malaysia","7.42","39","2010"
"Philippines (the)","7.33","40","2010"
"Rwanda","7.33","41","2010"
"Kazakhstan","7.3","42","2010"
"Maldives","7.26","43","2010"
"Moldova (the Republic of)","7.1","44","2010"
"Congo (the Democratic Republic of the)","7.1","45","2010"
"Gabon","7.08","46","2010"
"Malawi","6.87","47","2010"
"Korea (the Republic of)","6.8","48","2010"
"Sao Tome and Principe","6.67","49","2010"
"Tajikistan","6.52","50","2010"
"Mozambique","6.5","51","2010"
"Viet Nam","6.42","52","2010"
"Iraq","6.4","53","2010"
"Mongolia","6.36","54","2010"
"Tanzania, the United Republic of","6.33","55","2010"
"Georgia","6.24","56","2010"
"Indonesia","6.22","57","2010"
"Liberia","6.09","58","2010"
"Togo","6.09","59","2010"
"Namibia","6.03","60","2010"
"Cambodia","5.96","61","2010"
"Sweden","5.95","62","2010"
"Seychelles","5.95","63","2010"
"Gambia (the)","5.9","64","2010"
"Slovakia","5.87","65","2010"
"Chile","5.84","66","2010"
"Panama","5.82","67","2010"
"Iran (Islamic Republic of)","5.79","68","2010"
"Palestine, State of","5.77","69","2010"
