"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","63.82","1","2002"
"Kuwait","27.24","2","2002"
"United Arab Emirates (the)","24.33","3","2002"
"Trinidad and Tobago","22.4","4","2002"
"Bahrain","21.61","5","2002"
"Luxembourg","21.1","6","2002"
"United States of America (the)","19.61","7","2002"
"Australia","17.37","8","2002"
"Canada","16.56","9","2002"
"Saudi Arabia","14.96","10","2002"
"Brunei Darussalam","12.62","11","2002"
"Finland","11.79","12","2002"
"Czechia","11.73","13","2002"
"Singapore","11.31","14","2002"
"Netherlands (the)","11.25","15","2002"
"Ireland","11.04","16","2002"
"Oman","10.9","17","2002"
"Palau","10.83","18","2002"
"Estonia","10.79","19","2002"
"Russian Federation (the)","10.71","20","2002"
"Belgium","10.38","21","2002"
"Germany","10.05","22","2002"
"Korea (the Republic of)","9.77","23","2002"
"Denmark","9.68","24","2002"
"Equatorial Guinea","9.65","25","2002"
"Japan","9.56","26","2002"
"Israel","9.1","27","2002"
"Kazakhstan","9","28","2002"
"United Kingdom","8.9","29","2002"
"Turkmenistan","8.66","30","2002"
"Libya","8.64","31","2002"
"Greece","8.59","32","2002"
"New Zealand","8.4","33","2002"
"Norway","8.37","34","2002"
"Austria","8.29","35","2002"
"Italy","7.93","36","2002"
"Slovenia","7.73","37","2002"
"South Africa","7.72","38","2002"
"Poland","7.71","39","2002"
"Venezuela (Bolivarian Republic of)","7.7","40","2002"
"Nauru","7.62","41","2002"
"Andorra","7.59","42","2002"
"Spain","7.59","43","2002"
"Iceland","7.55","44","2002"
"Slovakia","7.3","45","2002"
"Cyprus","7.18","46","2002"
"Ukraine","6.61","47","2002"
"Sweden","6.43","48","2002"
"Seychelles","6.43","49","2002"
"Portugal","6.41","50","2002"
"Bahamas (the)","6.26","51","2002"
"France","6.06","52","2002"
"Iran (Islamic Republic of)","5.97","53","2002"
"Malta","5.8","54","2002"
"Bulgaria","5.69","55","2002"
"Malaysia","5.63","56","2002"
"Switzerland","5.59","57","2002"
"Hungary","5.51","58","2002"
"North Macedonia","5.33","59","2002"
"Belarus","5.31","60","2002"
"Uzbekistan","5.07","61","2002"
"Croatia","4.99","62","2002"
"Antigua and Barbuda","4.73","63","2002"
"Romania","4.47","64","2002"
"Barbados","4.39","65","2002"
"Saint Kitts and Nevis","4.38","66","2002"
"Mexico","4.07","67","2002"
"Lebanon","3.82","68","2002"
"Lithuania","3.81","69","2002"
"Bosnia and Herzegovina","3.8","70","2002"
"Jamaica","3.8","71","2002"
"Azerbaijan","3.62","72","2002"
"Gabon","3.54","73","2002"
"Chile","3.51","74","2002"
"Iraq","3.49","75","2002"
"Mongolia","3.39","76","2002"
"Argentina","3.3","77","2002"
"Suriname","3.24","78","2002"
"Jordan","3.17","79","2002"
"Turkey","3.15","80","2002"
"Thailand","3.03","81","2002"
"China","3","82","2002"
"Latvia","2.99","83","2002"
"Korea (the Democratic People's Republic of)","2.96","84","2002"
"Algeria","2.82","85","2002"
"Dominican Republic (the)","2.44","86","2002"
"Mauritius","2.39","87","2002"
"Botswana","2.33","88","2002"
"Cuba","2.32","89","2002"
"Syrian Arab Republic (the)","2.28","90","2002"
"Guyana","2.12","91","2002"
"Tunisia","2.11","92","2002"
"Marshall Islands (the)","2.1","93","2002"
"Maldives","2.01","94","2002"
"Grenada","1.98","95","2002"
"Ecuador","1.89","96","2002"
"Panama","1.86","97","2002"
"Brazil","1.85","98","2002"
"Saint Lucia","1.81","99","2002"
"Egypt","1.77","100","2002"
"Saint Vincent and the Grenadines","1.73","101","2002"
"Belize","1.64","102","2002"
"Costa Rica","1.54","103","2002"
"Dominica","1.47","104","2002"
"Indonesia","1.41","105","2002"
"Uruguay","1.38","106","2002"
"Moldova (the Republic of)","1.36","107","2002"
"Colombia","1.36","108","2002"
"Micronesia (Federated States of)","1.33","109","2002"
"Morocco","1.29","110","2002"
"Albania","1.22","111","2002"
"Bolivia (Plurinational State of)","1.18","112","2002"
"Tuvalu","1.14","113","2002"
"Eswatini","1.11","114","2002"
"Fiji","1.09","115","2002"
"El Salvador","1.03","116","2002"
"Tonga","1.03","117","2002"
"Armenia","1","118","2002"
"Zimbabwe","1","119","2002"
"Peru","1","120","2002"
"Kyrgyzstan","0.99","121","2002"
"India","0.96","122","2002"
"Namibia","0.95","123","2002"
"Lesotho","0.93","124","2002"
"Guatemala","0.89","125","2002"
"Philippines (the)","0.87","126","2002"
"Honduras","0.87","127","2002"
"Viet Nam","0.86","128","2002"
"Yemen","0.85","129","2002"
"Georgia","0.85","130","2002"
"Samoa","0.83","131","2002"
"Nicaragua","0.77","132","2002"
"Pakistan","0.76","133","2002"
"Nigeria","0.73","134","2002"
"Angola","0.72","135","2002"
"Paraguay","0.7","136","2002"
"Bhutan","0.67","137","2002"
"Cabo Verde","0.62","138","2002"
"Sri Lanka","0.57","139","2002"
"Papua New Guinea","0.57","140","2002"
"Djibouti","0.53","141","2002"
"Mauritania","0.48","142","2002"
"Kiribati","0.46","143","2002"
"Senegal","0.43","144","2002"
"Vanuatu","0.43","145","2002"
"Côte d'Ivoire","0.42","146","2002"
"Sao Tome and Principe","0.39","147","2002"
"Palestine, State of","0.37","148","2002"
"Ghana","0.36","149","2002"
"Solomon Islands","0.36","150","2002"
"Tajikistan","0.29","151","2002"
"Benin","0.28","152","2002"
"Bangladesh","0.25","153","2002"
"Eritrea","0.24","154","2002"
"Kenya","0.23","155","2002"
"Togo","0.23","156","2002"
"Sudan (the)","0.22","157","2002"
"Lao People's Democratic Republic (the)","0.21","158","2002"
"Gambia (the)","0.21","159","2002"
"Guinea","0.21","160","2002"
"Cameroon","0.2","161","2002"
"Haiti","0.2","162","2002"
"Myanmar","0.19","163","2002"
"Zambia","0.18","164","2002"
"Comoros (the)","0.18","165","2002"
