"Country","Crop production index (2004-2006 = 100)","Rank","Year"
"Mongolia","283.2","1","2012"
"Cambodia","193.63","2","2012"
"Chad","189.06","3","2012"
"Zambia","183.34","4","2012"
"Niger (the)","175.78","5","2012"
"Malawi","170.68","6","2012"
"Mauritania","169.41","7","2012"
"Lithuania","169.15","8","2012"
"Lao People's Democratic Republic (the)","167","9","2012"
"Kuwait","165.72","10","2012"
"Mozambique","165.65","11","2012"
"Rwanda","164.37","12","2012"
"Albania","161.18","13","2012"
"Uruguay","160.81","14","2012"
"Sierra Leone","160.34","15","2012"
"Algeria","159.93","16","2012"
"Cameroon","158.81","17","2012"
"Ethiopia","158.37","18","2012"
"Angola","158.31","19","2012"
"Haiti","152.09","20","2012"
"Tanzania, the United Republic of","149.56","21","2012"
"Mali","147.3","22","2012"
"Estonia","145.72","23","2012"
"Latvia","143.78","24","2012"
"Tajikistan","143.34","25","2012"
"Ghana","140.19","26","2012"
"Benin","140.03","27","2012"
"Guatemala","139.8","28","2012"
"Dominican Republic (the)","139.44","29","2012"
"Tonga","138.9","30","2012"
"Nepal","138","31","2012"
"Uzbekistan","137.18","32","2012"
"Bahamas (the)","136.41","33","2012"
"India","136.18","34","2012"
"Peru","135.86","35","2012"
"Suriname","135.71","36","2012"
"Armenia","135.56","37","2012"
"Indonesia","135.53","38","2012"
"Bangladesh","135.53","39","2012"
"Ukraine","135.47","40","2012"
"Guinea-Bissau","134.99","41","2012"
"Nicaragua","134.9","42","2012"
"Togo","134.63","43","2012"
"Bolivia (Plurinational State of)","134.37","44","2012"
"Afghanistan","133.9","45","2012"
"Djibouti","133.3","46","2012"
"Burkina Faso","132.03","47","2012"
"Vanuatu","131.56","48","2012"
"China","131.28","49","2012"
"Brazil","130.9","50","2012"
"Thailand","130.43","51","2012"
"Honduras","129.87","52","2012"
"Madagascar","129.65","53","2012"
"Viet Nam","129.5","54","2012"
"Yemen","129.25","55","2012"
"Singapore","128.09","56","2012"
"Kenya","127.04","57","2012"
"Senegal","126.21","58","2012"
"Guinea","125.98","59","2012"
"Costa Rica","122.65","60","2012"
"Sri Lanka","122.09","61","2012"
"Tunisia","121.98","62","2012"
"Congo (the)","120.76","63","2012"
"Australia","120.76","64","2012"
"Gabon","120.53","65","2012"
"Oman","120.45","66","2012"
"El Salvador","120.17","67","2012"
"World","119.85","","2012"
"Côte d'Ivoire","119.48","68","2012"
"Philippines (the)","119.26","69","2012"
"Jordan","118.93","70","2012"
"Canada","118.76","71","2012"
"Central African Republic (the)","118.51","72","2012"
"Papua New Guinea","117.59","73","2012"
"Malaysia","116.56","74","2012"
"Morocco","115.98","75","2012"
"Libya","115.93","76","2012"
