"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","41.64","1","2015"
"Curaçao","40.48","2","2015"
"Trinidad and Tobago","33.75","3","2015"
"Kuwait","24.24","4","2015"
"Bahrain","23.97","5","2015"
"United Arab Emirates (the)","21.02","6","2015"
"Saudi Arabia","20.4","7","2015"
"Brunei Darussalam","17.04","8","2015"
"Luxembourg","16.24","9","2015"
"United States of America (the)","15.98","10","2015"
"Canada","15.38","11","2015"
"Australia","15.33","12","2015"
"Oman","15.32","13","2015"
"Kazakhstan","13.8","14","2015"
"Turkmenistan","12.69","15","2015"
"Palau","12.66","16","2015"
"Estonia","12.43","17","2015"
"Russian Federation (the)","11.78","18","2015"
"Korea (the Republic of)","11.7","19","2015"
"Singapore","11.1","20","2015"
"Netherlands (the)","10.18","21","2015"
"Czechia","9.46","22","2015"
"Japan","9.15","23","2015"
"Norway","9.09","24","2015"
"Germany","8.9","25","2015"
"Libya","8.88","26","2015"
"Belgium","8.81","27","2015"
"South Africa","8.37","28","2015"
"Iran (Islamic Republic of)","8.28","29","2015"
"Israel","7.9","30","2015"
"Finland","7.77","31","2015"
"Mongolia","7.76","32","2015"
"Malaysia","7.75","33","2015"
"Ireland","7.63","34","2015"
"New Zealand","7.59","35","2015"
"Poland","7.52","36","2015"
"China","7.39","37","2015"
"Austria","7.08","38","2015"
"Bulgaria","6.23","39","2015"
"United Kingdom","6.22","40","2015"
"Serbia","6.18","41","2015"
"Belarus","6.14","42","2015"
"Slovenia","6.07","43","2015"
"Greece","6.01","44","2015"
"Iceland","6","45","2015"
"Andorra","5.96","46","2015"
"Antigua and Barbuda","5.83","47","2015"
"Slovakia","5.76","48","2015"
"Venezuela (Bolivarian Republic of)","5.71","49","2015"
"Denmark","5.42","50","2015"
"Bosnia and Herzegovina","5.41","51","2015"
"Spain","5.39","52","2015"
"Bahamas (the)","5.38","53","2015"
"Cyprus","5.28","54","2015"
"Seychelles","5.25","55","2015"
"Equatorial Guinea","5.15","56","2015"
"Portugal","4.75","57","2015"
"Iraq","4.7","58","2015"
"Argentina","4.66","59","2015"
"Chile","4.63","60","2015"
"Saint Kitts and Nevis","4.58","61","2015"
"Hungary","4.51","62","2015"
"Lithuania","4.5","63","2015"
"Turkey","4.46","64","2015"
"Barbados","4.39","65","2015"
"Ukraine","4.34","66","2015"
"Switzerland","4.3","67","2015"
"Thailand","4.13","68","2015"
"Croatia","4.11","69","2015"
"Mexico","3.96","70","2015"
"Sweden","3.89","71","2015"
"Azerbaijan","3.89","72","2015"
"Algeria","3.85","73","2015"
"Nauru","3.82","74","2015"
"Lebanon","3.74","75","2015"
"Malta","3.64","76","2015"
"Romania","3.61","77","2015"
"Montenegro","3.6","78","2015"
"Latvia","3.54","79","2015"
"North Macedonia","3.41","80","2015"
"Mauritius","3.33","81","2015"
"Uzbekistan","3.28","82","2015"
"Suriname","3.08","83","2015"
"Maldives","2.86","84","2015"
"Jordan","2.82","85","2015"
"Panama","2.8","86","2015"
"Gabon","2.7","87","2015"
"Tunisia","2.7","88","2015"
"Ecuador","2.66","89","2015"
"Georgia","2.63","90","2015"
"Guyana","2.62","91","2015"
"Jamaica","2.61","92","2015"
"Cuba","2.58","93","2015"
"Botswana","2.56","94","2015"
"Fiji","2.48","95","2015"
"Marshall Islands (the)","2.48","96","2015"
"Dominica","2.47","97","2015"
"Brazil","2.46","98","2015"
"Egypt","2.42","99","2015"
"Grenada","2.37","100","2015"
"Dominican Republic (the)","2.34","101","2015"
"Saint Lucia","2.29","102","2015"
"Viet Nam","2.03","103","2015"
"Saint Vincent and the Grenadines","2.01","104","2015"
"Indonesia","1.98","105","2015"
"Colombia","1.98","106","2015"
"Uruguay","1.96","107","2015"
"Bolivia (Plurinational State of)","1.84","108","2015"
"India","1.78","109","2015"
"Morocco","1.76","110","2015"
"Kyrgyzstan","1.75","111","2015"
"Moldova (the Republic of)","1.74","112","2015"
"Namibia","1.72","113","2015"
"Peru","1.72","114","2015"
"Armenia","1.64","115","2015"
"Syrian Arab Republic (the)","1.62","116","2015"
"Albania","1.6","117","2015"
"Belize","1.6","118","2015"
"Costa Rica","1.54","119","2015"
"Bhutan","1.46","120","2015"
"Liechtenstein","1.37","121","2015"
"Lao People's Democratic Republic (the)","1.34","122","2015"
"Micronesia (Federated States of)","1.31","123","2015"
"Angola","1.24","124","2015"
"Samoa","1.21","125","2015"
"Tonga","1.2","126","2015"
"Philippines (the)","1.14","127","2015"
"Lesotho","1.13","128","2015"
"Honduras","1.09","129","2015"
"El Salvador","1.08","130","2015"
"Guatemala","1.01","131","2015"
"Korea (the Democratic People's Republic of)","1","132","2015"
"Tuvalu","0.99","133","2015"
"Sri Lanka","0.95","134","2015"
"Pakistan","0.94","135","2015"
"Cabo Verde","0.94","136","2015"
"Paraguay","0.94","137","2015"
"Papua New Guinea","0.92","138","2015"
"Zimbabwe","0.89","139","2015"
"Eswatini","0.89","140","2015"
"Nicaragua","0.85","141","2015"
"Senegal","0.72","142","2015"
"Mauritania","0.71","143","2015"
"Palestine, State of","0.7","144","2015"
"Djibouti","0.68","145","2015"
"Congo (the)","0.66","146","2015"
"Nigeria","0.64","147","2015"
"Tajikistan","0.59","148","2015"
"Ghana","0.59","149","2015"
"Benin","0.57","150","2015"
"Sao Tome and Principe","0.57","151","2015"
"Kiribati","0.56","152","2015"
"Cambodia","0.55","153","2015"
"Bangladesh","0.51","154","2015"
"Yemen","0.49","155","2015"
"Vanuatu","0.48","156","2015"
"Côte d'Ivoire","0.47","157","2015"
"Myanmar","0.42","158","2015"
"Timor-Leste","0.41","159","2015"
"Togo","0.36","160","2015"
"Kenya","0.35","161","2015"
"Cameroon","0.34","162","2015"
"Solomon Islands","0.31","163","2015"
"Zambia","0.28","164","2015"
"Liberia","0.27","165","2015"
"Haiti","0.27","166","2015"
"Afghanistan","0.26","167","2015"
"Gambia (the)","0.25","168","2015"
"Tanzania, the United Republic of","0.25","169","2015"
"Nepal","0.23","170","2015"
"Guinea","0.23","171","2015"
"Mozambique","0.23","172","2015"
"Comoros (the)","0.21","173","2015"
"Burkina Faso","0.18","174","2015"
"Mali","0.18","175","2015"
"South Sudan","0.18","176","2015"
"Guinea-Bissau","0.16","177","2015"
"Madagascar","0.15","178","2015"
"Sierra Leone","0.14","179","2015"
"Ethiopia","0.13","180","2015"
"Uganda","0.13","181","2015"
"Niger (the)","0.1","182","2015"
"Rwanda","0.08","183","2015"
"Chad","0.07","184","2015"
"Central African Republic (the)","0.06","185","2015"
"Malawi","0.06","186","2015"
"Somalia","0.04","187","2015"
"Congo (the Democratic Republic of the)","0.03","188","2015"
"Burundi","0.03","189","2015"
"World","0","","2015"
"France","null","190","2015"
"Italy","null","191","2015"
"San Marino","null","192","2015"
"Holy See (the)","null","193","2015"
"Monaco","null","194","2015"
"Taiwan","null","195","2015"
"Eritrea","null","196","2015"
"Sudan (the)","null","197","2015"
"Bonaire","null","198","2015"
"Sint Maarten (Dutch part)","null","199","2015"
"Faroe Islands","null","200","2015"
"United States Minor Outlying Islands","null","201","2015"
"Serranilla Bank","null","202","2015"
"Scarborough Reef","null","203","2015"
"Bajo Nuevo Bank (Petrel Is.)","null","204","2015"
"Spratly Islands","null","205","2015"
"American Samoa","null","206","2015"
"Greenland","null","207","2015"
"Guam","null","208","2015"
"Northern Mariana Islands","null","209","2015"
"Puerto Rico","null","210","2015"
"United States Virgin Islands","null","211","2015"
"Somaliland","null","212","2015"
"Northern Cyprus","null","213","2015"
"Cyprus No Mans Area","null","214","2015"
"Western Sahara","null","215","2015"
"Siachen Glacier","null","216","2015"
"Kosovo","null","217","2015"
