"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"France","null","1","2019"
"Denmark","null","2","2019"
"Iceland","null","3","2019"
"Norway","null","4","2019"
"Sweden","null","5","2019"
"Finland","null","6","2019"
"Estonia","null","7","2019"
"Latvia","null","8","2019"
"Lithuania","null","9","2019"
"Germany","null","10","2019"
"Austria","null","11","2019"
"Bulgaria","null","12","2019"
"Hungary","null","13","2019"
"Liechtenstein","null","14","2019"
"Romania","null","15","2019"
"Czechia","null","16","2019"
"Slovakia","null","17","2019"
"Bosnia and Herzegovina","null","18","2019"
"Croatia","null","19","2019"
"Montenegro","null","20","2019"
"Serbia","null","21","2019"
"Poland","null","22","2019"
"Russian Federation (the)","null","23","2019"
"Albania","null","24","2019"
"Greece","null","25","2019"
"Italy","null","26","2019"
"San Marino","null","27","2019"
"Holy See (the)","null","28","2019"
"Andorra","null","29","2019"
"Belgium","null","30","2019"
"United Kingdom","null","31","2019"
"Spain","null","32","2019"
"Netherlands (the)","null","33","2019"
"Ireland","null","34","2019"
"Luxembourg","null","35","2019"
"Monaco","null","36","2019"
"Portugal","null","37","2019"
"Switzerland","null","38","2019"
"Malta","null","39","2019"
"Slovenia","null","40","2019"
"Belarus","null","41","2019"
"Moldova (the Republic of)","null","42","2019"
"Ukraine","null","43","2019"
"North Macedonia","null","44","2019"
"Saudi Arabia","null","45","2019"
"Iraq","null","46","2019"
"Iran (Islamic Republic of)","null","47","2019"
"Lebanon","null","48","2019"
"Syrian Arab Republic (the)","null","49","2019"
"Israel","null","50","2019"
"Turkey","null","51","2019"
"Afghanistan","null","52","2019"
"Pakistan","null","53","2019"
"Bhutan","null","54","2019"
"Nepal","null","55","2019"
"China","null","56","2019"
"Japan","null","57","2019"
"Thailand","null","58","2019"
"Philippines (the)","null","59","2019"
"Jordan","null","60","2019"
"India","null","61","2019"
"Myanmar","null","62","2019"
"Brunei Darussalam","null","63","2019"
"Singapore","null","64","2019"
"Malaysia","null","65","2019"
"Maldives","null","66","2019"
"Indonesia","null","67","2019"
"Cambodia","null","68","2019"
"Sri Lanka","null","69","2019"
"Taiwan","null","70","2019"
"Korea (the Democratic People's Republic of)","null","71","2019"
"Korea (the Republic of)","null","72","2019"
"Kuwait","null","73","2019"
"Lao People's Democratic Republic (the)","null","74","2019"
"Mongolia","null","75","2019"
"Viet Nam","null","76","2019"
"Bangladesh","null","77","2019"
"United Arab Emirates (the)","null","78","2019"
"Qatar","null","79","2019"
"Bahrain","null","80","2019"
"Oman","null","81","2019"
"Yemen","null","82","2019"
"Armenia","null","83","2019"
"Azerbaijan","null","84","2019"
"Cyprus","null","85","2019"
"Georgia","null","86","2019"
"Kazakhstan","null","87","2019"
"Kyrgyzstan","null","88","2019"
"Uzbekistan","null","89","2019"
"Tajikistan","null","90","2019"
"Turkmenistan","null","91","2019"
"Palestine, State of","null","92","2019"
"Timor-Leste","null","93","2019"
"Egypt","null","94","2019"
"Liberia","null","95","2019"
"South Africa","null","96","2019"
"Gambia (the)","null","97","2019"
"Tanzania, the United Republic of","null","98","2019"
"Zimbabwe","null","99","2019"
"Namibia","null","100","2019"
"Congo (the Democratic Republic of the)","null","101","2019"
"Equatorial Guinea","null","102","2019"
"Ethiopia","null","103","2019"
"Libya","null","104","2019"
"Eritrea","null","105","2019"
"Somalia","null","106","2019"
"Burundi","null","107","2019"
"Cameroon","null","108","2019"
"Central African Republic (the)","null","109","2019"
"Congo (the)","null","110","2019"
"Côte d'Ivoire","null","111","2019"
"Benin","null","112","2019"
"Gabon","null","113","2019"
"Ghana","null","114","2019"
"Guinea","null","115","2019"
"Burkina Faso","null","116","2019"
"Kenya","null","117","2019"
"Madagascar","null","118","2019"
"Malawi","null","119","2019"
"Mali","null","120","2019"
"Mauritania","null","121","2019"
"Niger (the)","null","122","2019"
"Nigeria","null","123","2019"
"Uganda","null","124","2019"
"Rwanda","null","125","2019"
"Senegal","null","126","2019"
"Sierra Leone","null","127","2019"
"Sudan (the)","null","128","2019"
"Chad","null","129","2019"
"Togo","null","130","2019"
"Zambia","null","131","2019"
"Botswana","null","132","2019"
"Lesotho","null","133","2019"
"South Sudan","null","134","2019"
"Morocco","null","135","2019"
"Tunisia","null","136","2019"
"Algeria","null","137","2019"
"Mauritius","null","138","2019"
"Eswatini","null","139","2019"
"Guinea-Bissau","null","140","2019"
"Mozambique","null","141","2019"
"Sao Tome and Principe","null","142","2019"
"Angola","null","143","2019"
"Cabo Verde","null","144","2019"
"Comoros (the)","null","145","2019"
"Seychelles","null","146","2019"
"Djibouti","null","147","2019"
"Canada","null","148","2019"
"United States of America (the)","null","149","2019"
"Mexico","null","150","2019"
