"Country","GDP growth (annual %)","Rank","Year"
"Ireland","25.16","1","2015"
"Kiribati","10.4","2","2015"
"Ethiopia","10.39","3","2015"
"Malta","9.6","4","2015"
"Tuvalu","9.14","5","2015"
"Rwanda","8.85","6","2015"
"Côte d'Ivoire","8.84","7","2015"
"India","7.99","8","2015"
"Djibouti","7.69","9","2015"
"Palau","7.53","10","2015"
"Uzbekistan","7.44","11","2015"
"Lao People's Democratic Republic (the)","7.27","12","2015"
"China","7.04","13","2015"
"Cambodia","7.03","14","2015"
"Myanmar","6.99","15","2015"
"Dominican Republic (the)","6.92","16","2015"
"Congo (the Democratic Republic of the)","6.91","17","2015"
"Mozambique","6.72","18","2015"
"Viet Nam","6.67","19","2015"
"Bhutan","6.64","20","2015"
"Papua New Guinea","6.57","21","2015"
"Bangladesh","6.55","22","2015"
"Turkmenistan","6.49","23","2015"
"Grenada","6.44","24","2015"
"Senegal","6.36","25","2015"
"Philippines (the)","6.34","26","2015"
"Mali","6.17","27","2015"
"Tanzania, the United Republic of","6.16","28","2015"
"Guinea-Bissau","6.13","29","2015"
"Turkey","6.08","30","2015"
"Tajikistan","6","31","2015"
"Togo","5.74","32","2015"
"Panama","5.73","33","2015"
"Kenya","5.71","34","2015"
"Cameroon","5.65","35","2015"
"Czechia","5.38","36","2015"
"Mauritania","5.37","37","2015"
"Uganda","5.18","38","2015"
"United Arab Emirates (the)","5.1","39","2015"
"Malaysia","5.09","40","2015"
"Sri Lanka","5","41","2015"
"Seychelles","4.93","42","2015"
"Sudan (the)","4.9","43","2015"
"Monaco","4.89","44","2015"
"Indonesia","4.87","45","2015"
"Bolivia (Plurinational State of)","4.85","46","2015"
"Slovakia","4.81","47","2015"
"Nicaragua","4.79","48","2015"
"Qatar","4.75","49","2015"
"Iceland","4.74","50","2015"
"Pakistan","4.73","51","2015"
"Oman","4.63","52","2015"
"Micronesia (Federated States of)","4.62","53","2015"
"Morocco","4.53","54","2015"
"Namibia","4.52","55","2015"
"Fiji","4.5","56","2015"
"Sweden","4.48","57","2015"
"Cuba","4.43","58","2015"
"Niger (the)","4.39","59","2015"
"Egypt","4.37","60","2015"
"Central African Republic (the)","4.33","61","2015"
"Luxembourg","4.3","62","2015"
"Samoa","4.27","63","2015"
"Poland","4.23","64","2015"
"Saudi Arabia","4.1","65","2015"
"Guatemala","4.09","66","2015"
"Gambia (the)","4.05","67","2015"
"Latvia","4","68","2015"
"Bulgaria","3.98","69","2015"
"Burkina Faso","3.92","70","2015"
"Sao Tome and Principe","3.91","71","2015"
"Kyrgyzstan","3.87","72","2015"
"Gabon","3.87","73","2015"
"North Macedonia","3.85","74","2015"
"Honduras","3.84","75","2015"
"Spain","3.83","76","2015"
"Antigua and Barbuda","3.82","77","2015"
"Hungary","3.81","78","2015"
"Guinea","3.81","79","2015"
"Palestine, State of","3.72","80","2015"
"Algeria","3.7","81","2015"
"Nauru","3.7","82","2015"
"Costa Rica","3.63","83","2015"
"New Zealand","3.61","84","2015"
"Mauritius","3.55","85","2015"
"Montenegro","3.39","86","2015"
"Nepal","3.32","87","2015"
"Mexico","3.29","88","2015"
"Peru","3.25","89","2015"
"Cyprus","3.21","90","2015"
"Armenia","3.19","91","2015"
"Thailand","3.13","92","2015"
"Madagascar","3.13","93","2015"
"Bosnia and Herzegovina","3.08","94","2015"
"Paraguay","3.08","95","2015"
"Georgia","3.02","96","2015"
"Singapore","2.98","97","2015"
