"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","42.86","1","2012"
"Curaçao","39.44","2","2012"
"Trinidad and Tobago","33.77","3","2012"
"Kuwait","30.01","4","2012"
"Brunei Darussalam","24.22","5","2012"
"United Arab Emirates (the)","24.04","6","2012"
"Bahrain","21.19","7","2012"
"Sint Maarten (Dutch part)","20.11","8","2012"
"Luxembourg","19.95","9","2012"
"Saudi Arabia","19.37","10","2012"
"Australia","17.07","11","2012"
"Oman","17.05","12","2012"
"United States of America (the)","16.19","13","2012"
"Canada","14.91","14","2012"
"Kazakhstan","14.46","15","2012"
"Estonia","12.96","16","2012"
"Russian Federation (the)","12.62","17","2012"
"Mongolia","12.41","18","2012"
"Turkmenistan","12.31","19","2012"
"Palau","12.26","20","2012"
"Korea (the Republic of)","11.63","21","2012"
"Netherlands (the)","10.25","22","2012"
"Czechia","9.83","23","2012"
"Japan","9.63","24","2012"
"Israel","9.54","25","2012"
"Singapore","9.41","26","2012"
"Germany","9.17","27","2012"
"Finland","9.05","28","2012"
"Norway","8.86","29","2012"
"South Africa","8.79","30","2012"
"Belgium","8.56","31","2012"
"Libya","8.38","32","2012"
"Iran (Islamic Republic of)","8.09","33","2012"
"Poland","7.87","34","2012"
"New Zealand","7.74","35","2012"
"Ireland","7.73","36","2012"
"Malaysia","7.52","37","2012"
"China","7.42","38","2012"
"Austria","7.39","39","2012"
"United Kingdom","7.35","40","2012"
"Greece","7.24","41","2012"
"Slovenia","7.13","42","2012"
"Equatorial Guinea","6.77","43","2012"
"Belarus","6.65","44","2012"
"Venezuela (Bolivarian Republic of)","6.54","45","2012"
"Denmark","6.51","46","2012"
"Ukraine","6.48","47","2012"
"Malta","6.38","48","2012"
"Italy","6.2","49","2012"
"Bosnia and Herzegovina","6.17","50","2012"
"Bulgaria","6.14","51","2012"
"Cyprus","6.09","52","2012"
"Serbia","6.08","53","2012"
"Slovakia","6.06","54","2012"
"Andorra","5.91","55","2012"
"Iceland","5.84","56","2012"
"Antigua and Barbuda","5.8","57","2012"
"Spain","5.66","58","2012"
"Bahamas (the)","5.24","59","2012"
"Barbados","5.18","60","2012"
"France","5.07","61","2012"
"Sweden","4.94","62","2012"
"Iraq","4.84","63","2012"
"Seychelles","4.77","64","2012"
"Switzerland","4.73","65","2012"
"Chile","4.65","66","2012"
"Lithuania","4.62","67","2012"
"Argentina","4.62","68","2012"
"Hungary","4.55","69","2012"
"Saint Kitts and Nevis","4.41","70","2012"
"Turkey","4.38","71","2012"
"Portugal","4.37","72","2012"
"North Macedonia","4.24","73","2012"
"Mexico","4.23","74","2012"
"Croatia","4.22","75","2012"
"Suriname","4.18","76","2012"
"Lebanon","4.08","77","2012"
"Romania","4.07","78","2012"
"Thailand","4.02","79","2012"
"Nauru","3.92","80","2012"
"Uzbekistan","3.88","81","2012"
"Azerbaijan","3.8","82","2012"
"Montenegro","3.56","83","2012"
"Latvia","3.47","84","2012"
"Algeria","3.47","85","2012"
"Mauritius","3.15","86","2012"
"Jordan","3.02","87","2012"
"Gabon","2.89","88","2012"
"Maldives","2.79","89","2012"
"Panama","2.65","90","2012"
"Cuba","2.64","91","2012"
"Guyana","2.64","92","2012"
"Jamaica","2.59","93","2012"
"Uruguay","2.57","94","2012"
"Egypt","2.54","95","2012"
"Grenada","2.52","96","2012"
"Botswana","2.49","97","2012"
"Tunisia","2.48","98","2012"
"Marshall Islands (the)","2.39","99","2012"
"Brazil","2.35","100","2012"
"Saint Vincent and the Grenadines","2.33","101","2012"
"Dominica","2.32","102","2012"
"Saint Lucia","2.3","103","2012"
"Georgia","2.26","104","2012"
"Dominican Republic (the)","2.21","105","2012"
"Syrian Arab Republic (the)","2.18","106","2012"
"Indonesia","2.13","107","2012"
"Ecuador","2.1","108","2012"
"Armenia","1.97","109","2012"
"Peru","1.87","110","2012"
"Bolivia (Plurinational State of)","1.81","111","2012"
"Kyrgyzstan","1.8","112","2012"
"Morocco","1.78","113","2012"
"Colombia","1.74","114","2012"
"Moldova (the Republic of)","1.72","115","2012"
"Albania","1.69","116","2012"
"India","1.59","117","2012"
"Viet Nam","1.58","118","2012"
"Costa Rica","1.56","119","2012"
"Korea (the Democratic People's Republic of)","1.54","120","2012"
"Namibia","1.54","121","2012"
"Liechtenstein","1.5","122","2012"
"Belize","1.41","123","2012"
"Angola","1.36","124","2012"
"Fiji","1.22","125","2012"
"Bhutan","1.19","126","2012"
"Lesotho","1.19","127","2012"
"Micronesia (Federated States of)","1.19","128","2012"
"Eswatini","1.14","129","2012"
"Honduras","1.06","130","2012"
"El Salvador","1.06","131","2012"
"Samoa","1.04","132","2012"
"Tonga","1.03","133","2012"
"Tuvalu","1.02","134","2012"
"Cabo Verde","1","135","2012"
"Philippines (the)","0.93","136","2012"
"Pakistan","0.9","137","2012"
"Paraguay","0.82","138","2012"
"Guatemala","0.8","139","2012"
"Sri Lanka","0.78","140","2012"
"Nicaragua","0.77","141","2012"
"Yemen","0.76","142","2012"
"Mauritania","0.71","143","2012"
"Nigeria","0.71","144","2012"
"Papua New Guinea","0.66","145","2012"
"Congo (the)","0.65","146","2012"
"Zimbabwe","0.6","147","2012"
"Sao Tome and Principe","0.6","148","2012"
"Senegal","0.59","149","2012"
"Ghana","0.57","150","2012"
"Lao People's Democratic Republic (the)","0.55","151","2012"
"Palestine, State of","0.55","152","2012"
