"Country","GDP growth (annual %)","Rank","Year"
"Timor-Leste","19.53","1","2019"
"Tuvalu","9.75","2","2019"
"Rwanda","9.46","3","2019"
"Ethiopia","8.36","4","2019"
"Bangladesh","8.15","5","2019"
"Djibouti","7.77","6","2019"
"Somalia","7.66","7","2019"
"Armenia","7.59","8","2019"
"Dominica","7.57","9","2019"
"Monaco","7.5","10","2019"
"Tajikistan","7.39","11","2019"
"Cambodia","7.05","12","2019"
"Viet Nam","7.01","13","2019"
"Maldives","6.88","14","2019"
"Benin","6.86","15","2019"
"Myanmar","6.75","16","2019"
"Nepal","6.65","17","2019"
"Marshall Islands (the)","6.64","18","2019"
"Ghana","6.5","19","2019"
"Uganda","6.43","20","2019"
"Turkmenistan","6.29","21","2019"
"Côte d'Ivoire","6.23","22","2019"
"Gambia (the)","6.15","23","2019"
"Philippines (the)","6.11","24","2019"
"Iraq","5.95","25","2019"
"China","5.94","26","2019"
"Niger (the)","5.94","27","2019"
"Tanzania, the United Republic of","5.79","28","2019"
"Bhutan","5.75","29","2019"
"Mauritania","5.75","30","2019"
"Uzbekistan","5.7","31","2019"
"Burkina Faso","5.68","32","2019"
"Cabo Verde","5.66","33","2019"
"Guinea","5.64","34","2019"
"Mongolia","5.6","35","2019"
"Egypt","5.55","36","2019"
"Malta","5.53","37","2019"
"Lao People's Democratic Republic (the)","5.45","38","2019"
"Togo","5.45","39","2019"
"Malawi","5.44","40","2019"
"Guyana","5.35","41","2019"
"Cyprus","5.28","42","2019"
"Sierra Leone","5.25","43","2019"
"Dominican Republic (the)","5.05","44","2019"
"Indonesia","5.01","45","2019"
"Georgia","4.98","46","2019"
"Kenya","4.98","47","2019"
"Ireland","4.91","48","2019"
"Antigua and Barbuda","4.86","49","2019"
"Saint Kitts and Nevis","4.79","50","2019"
"Mali","4.75","51","2019"
"Poland","4.74","52","2019"
"Kyrgyzstan","4.6","53","2019"
"Lithuania","4.57","54","2019"
"Hungary","4.55","55","2019"
"Kazakhstan","4.5","56","2019"
"Guinea-Bissau","4.49","57","2019"
"Papua New Guinea","4.48","58","2019"
"Malaysia","4.43","59","2019"
"Madagascar","4.41","60","2019"
"Senegal","4.4","61","2019"
"Congo (the Democratic Republic of the)","4.38","62","2019"
"Samoa","4.37","63","2019"
"Serbia","4.33","64","2019"
"Romania","4.18","65","2019"
"Estonia","4.09","66","2019"
"Montenegro","4.06","67","2019"
"India","4.04","68","2019"
"Bulgaria","4.03","69","2019"
"Gabon","3.92","70","2019"
"Kiribati","3.92","71","2019"
"North Macedonia","3.91","72","2019"
"Afghanistan","3.91","73","2019"
"Vanuatu","3.91","74","2019"
"Brunei Darussalam","3.86","75","2019"
"Guatemala","3.86","76","2019"
"Israel","3.77","77","2019"
