"Country","GDP growth (annual %)","Rank","Year"
"Libya","26.68","1","2017"
"Guinea","10.3","2","2017"
"Ethiopia","9.56","3","2017"
"Nepal","8.97","4","2017"
"Ireland","8.94","5","2017"
"Ghana","8.12","6","2017"
"Malta","8.11","7","2017"
"Turkey","7.5","8","2017"
"Armenia","7.5","9","2017"
"Senegal","7.4","10","2017"
"Côte d'Ivoire","7.35","11","2017"
"Romania","7.31","12","2017"
"Bangladesh","7.28","13","2017"
"Maldives","7.2","14","2017"
"Tajikistan","7.1","15","2017"
"Cambodia","6.99","16","2017"
"China","6.94","17","2017"
"Philippines (the)","6.93","18","2017"
"Lao People's Democratic Republic (the)","6.89","19","2017"
"Viet Nam","6.81","20","2017"
"India","6.79","21","2017"
"Tanzania, the United Republic of","6.78","22","2017"
"Turkmenistan","6.5","23","2017"
"Vanuatu","6.31","24","2017"
"Mauritania","6.27","25","2017"
"Burkina Faso","6.2","26","2017"
"Guinea-Bissau","5.91","27","2017"
"Cyprus","5.85","28","2017"
"Malaysia","5.81","29","2017"
"Estonia","5.79","30","2017"
"Myanmar","5.75","31","2017"
"Benin","5.67","32","2017"
"Mongolia","5.63","33","2017"
"Panama","5.59","34","2017"
"Pakistan","5.55","35","2017"
"Djibouti","5.4","36","2017"
"Fiji","5.35","37","2017"
"Solomon Islands","5.34","38","2017"
"Mali","5.3","39","2017"
"Czechia","5.16","40","2017"
"Indonesia","5.06","41","2017"
"Niger (the)","5","42","2017"
"Georgia","4.84","43","2017"
"Honduras","4.84","44","2017"
"Poland","4.83","45","2017"
"Gambia (the)","4.82","46","2017"
"Slovenia","4.81","47","2017"
"Paraguay","4.81","48","2017"
"Kyrgyzstan","4.73","49","2017"
"Seychelles","4.73","50","2017"
"Montenegro","4.71","51","2017"
"Zimbabwe","4.7","52","2017"
"Moldova (the Republic of)","4.69","53","2017"
"Dominican Republic (the)","4.66","54","2017"
"Bhutan","4.65","55","2017"
"Nicaragua","4.63","56","2017"
"Singapore","4.52","57","2017"
"Central African Republic (the)","4.52","58","2017"
"Grenada","4.43","59","2017"
"Uzbekistan","4.39","60","2017"
"Israel","4.37","61","2017"
"Togo","4.34","62","2017"
"Bahrain","4.29","63","2017"
"Lithuania","4.28","64","2017"
"Hungary","4.26","65","2017"
"Morocco","4.25","66","2017"
"Iceland","4.19","67","2017"
"Sierra Leone","4.19","68","2017"
"Bolivia (Plurinational State of)","4.19","69","2017"
"Egypt","4.18","70","2017"
"Thailand","4.17","71","2017"
"Costa Rica","4.15","72","2017"
"Kazakhstan","4.1","73","2017"
"Tuvalu","4.09","74","2017"
"Malawi","4","75","2017"
"Botswana","4","76","2017"
"Rwanda","3.97","77","2017"
"Madagascar","3.93","78","2017"
"Sao Tome and Principe","3.84","79","2017"
"Kenya","3.81","80","2017"
"Mauritius","3.81","81","2017"
"Comoros (the)","3.81","82","2017"
"Albania","3.8","83","2017"
"Iran (Islamic Republic of)","3.75","84","2017"
"Mozambique","3.74","85","2017"
"Guyana","3.73","86","2017"
"Congo (the Democratic Republic of the)","3.72","87","2017"
"Cabo Verde","3.7","88","2017"
"New Zealand","3.61","89","2017"
"Sri Lanka","3.57","90","2017"
"Cameroon","3.54","91","2017"
"Papua New Guinea","3.53","92","2017"
"Portugal","3.5","93","2017"
"Zambia","3.5","94","2017"
"Saint Lucia","3.5","95","2017"
"Croatia","3.41","96","2017"
"World","3.39","","2017"
"Tonga","3.32","97","2017"
"Latvia","3.31","98","2017"
"Marshall Islands (the)","3.25","99","2017"
"Finland","3.19","100","2017"
"Bosnia and Herzegovina","3.17","101","2017"
"Korea (the Republic of)","3.15","102","2017"
"Antigua and Barbuda","3.14","103","2017"
"Uganda","3.13","104","2017"
"Guatemala","3.07","105","2017"
"Canada","3.03","106","2017"
"Slovakia","2.98","107","2017"
"Spain","2.97","108","2017"
"Netherlands (the)","2.91","109","2017"
"Denmark","2.82","110","2017"
"Argentina","2.81","111","2017"
"Bulgaria","2.76","112","2017"
"Germany","2.68","113","2017"
"Micronesia (Federated States of)","2.68","114","2017"
"Afghanistan","2.64","115","2017"
"Sweden","2.56","116","2017"
"Belarus","2.53","117","2017"
"Haiti","2.51","118","2017"
"Peru","2.51","119","2017"
"Liberia","2.45","120","2017"
"United Arab Emirates (the)","2.37","121","2017"
"Ecuador","2.36","122","2017"
"Ukraine","2.35","123","2017"
"United States of America (the)","2.33","124","2017"
"Norway","2.32","125","2017"
"France","2.29","126","2017"
"Australia","2.29","127","2017"
"Austria","2.25","128","2017"
