"Country","CO2 emissions (metric tons per capita)","Rank","Year"
"Qatar","32.41","1","2018"
"Kuwait","21.62","2","2018"
"United Arab Emirates (the)","20.79","3","2018"
"Bahrain","19.59","4","2018"
"Brunei Darussalam","16.64","5","2018"
"Palau","16.19","6","2018"
"Canada","15.49","7","2018"
"Australia","15.47","8","2018"
"Luxembourg","15.33","9","2018"
"Saudi Arabia","15.26","10","2018"
"United States of America (the)","15.24","11","2018"
"Oman","15.19","12","2018"
"Trinidad and Tobago","12.77","13","2018"
"Turkmenistan","12.25","14","2018"
"Korea (the Republic of)","12.22","15","2018"
"Estonia","12.1","16","2018"
"Kazakhstan","12.06","17","2018"
"Russian Federation (the)","11.12","18","2018"
"Czechia","9.64","19","2018"
"Libya","8.82","20","2018"
"Netherlands (the)","8.77","21","2018"
"Japan","8.74","22","2018"
"Germany","8.55","23","2018"
"Singapore","8.39","24","2018"
"Poland","8.23","25","2018"
"Belgium","8.17","26","2018"
"Finland","8.04","27","2018"
"Iran (Islamic Republic of)","7.69","28","2018"
"Ireland","7.62","29","2018"
"Malaysia","7.6","30","2018"
"South Africa","7.49","31","2018"
"China","7.35","32","2018"
"Austria","7.14","33","2018"
"Norway","7.03","34","2018"
"Israel","6.97","35","2018"
"Bosnia and Herzegovina","6.78","36","2018"
"Slovenia","6.77","37","2018"
"Mongolia","6.72","38","2018"
"New Zealand","6.57","39","2018"
"Nauru","6.55","40","2018"
"Serbia","6.52","41","2018"
"Seychelles","6.4","42","2018"
"Belarus","6.28","43","2018"
"Iceland","6.23","44","2018"
"Greece","6.08","45","2018"
"Cyprus","6.07","46","2018"
"Slovakia","6.05","47","2018"
"Andorra","5.97","48","2018"
"Bahamas (the)","5.86","49","2018"
"Bulgaria","5.85","50","2018"
"Denmark","5.76","51","2018"
"Spain","5.52","52","2018"
"Antigua and Barbuda","5.5","53","2018"
"United Kingdom","5.39","54","2018"
"Italy","5.37","55","2018"
"Equatorial Guinea","5.09","56","2018"
"Turkey","5.01","57","2018"
"Saint Kitts and Nevis","4.95","58","2018"
"Iraq","4.89","59","2018"
"Portugal","4.84","60","2018"
"Venezuela (Bolivarian Republic of)","4.78","61","2018"
"Hungary","4.74","62","2018"
"Chile","4.62","63","2018"
"France","4.61","64","2018"
"World","4.47","","2018"
"Switzerland","4.4","65","2018"
"Barbados","4.36","66","2018"
"Ukraine","4.15","67","2018"
"Lithuania","4.13","68","2018"
"Croatia","4.05","69","2018"
